word,level,count,levels
carefully,A1,0,
exactly,A1,0,
least,A1,0,
less,A1,0,
probably,A1,0,
quietly,A1,0,
quite,A1,0,
simply,A1,0,
so,A1,0,
still,A1,0,
yet,A1,0,
absolutely,A2,0,
ahead,A2,0,
anymore,A2,0,
anyway,A2,0,
anywhere,A2,0,
apart,A2,0,
clearly,A2,0,
completely,A2,0,
directly,A2,0,
easily,A2,0,
eventually,A2,0,
everywhere,A2,0,
forward,A2,0,
generally,A2,0,
indeed,A2,0,
instead,A2,0,
monthly,A2,0,
mostly,A2,0,
nearby,A2,0,
obviously,A2,0,
particularly,A2,0,
properly,A2,0,
quickly,A2,0,
rather,A2,0,
recently,A2,0,
weekly,A2,0,
worse,A2,0,
worst,A2,0,
yearly,A2,0,
accurately,B1,0,
apparently,B1,0,
automatically,B1,0,
basically,B1,0,
briefly,B1,0,
closely,B1,0,
constantly,B1,0,
currently,B1,0,
deeply,B1,0,
definitely,B1,0,
effectively,B1,0,
entirely,B1,0,
equally,B1,0,
extremely,B1,0,
fairly,B1,0,
forever,B1,0,
fully,B1,0,
highly,B1,0,
largely,B1,0,
naturally,B1,0,
necessarily,B1,0,
otherwise,B1,0,
perfectly,B1,0,
personally,B1,0,
possibly,B1,0,
potentially,B1,0,
primarily,B1,0,
purely,B1,0,
relatively,B1,0,
roughly,B1,0,
seriously,B1,0,
similarly,B1,0,
slightly,B1,0,
somehow,B1,0,
somewhere,B1,0,
specifically,B1,0,
straight,B1,0,
strongly,B1,0,
successfully,B1,0,
tightly,B1,0,
totally,B1,0,
truly,B1,0,
ultimately,B1,0,
virtually,B1,0,
widely,B1,0,
just,A1,0,
around,A1,0,
alone,A2,0,
above,B1,0,
below,B1,0,
too,A1,1,bedroom
again,A1,1,at-the-school
ago,A1,1,at-the-train-station
almost,A1,1,at-the-office
already,A1,1,at-the-post-office
also,A1,1,at-the-pharmacy
always,A1,3,"at-garage-gas station,at-the-train-station,bathroom"
away,A1,2,"at-the-office,at-the-park"
back,A1,1,city-walk
before,A1,3,"at-the-traffic,bathroom,grocery-shopping"
better,A1,1,at-the-pharmacy
down,A1,2,"at-the-traffic,living-room"
early,A1,1,waking-up
else,A1,1,living-room
enough,A1,1,at-the-hospital
especially,A1,1,at-the-farm
far,A1,1,city-walk
fast,A1,1,at-the-traffic
finally,A1,1,at-the-farm
hard,A1,1,baby-care
here,A1,1,verb-to-be
late,A1,1,at-the-airport
later,A1,1,greetings
little,A1,1,at-the-pharmacy
long,A1,2,"at-the-airport,at-the-library"
maybe,A1,1,at-the-pharmacy
more,A1,2,"bedroom,living-room"
much,A1,1,at-the-post-office
never,A1,1,at-the-bank
now,A1,1,waking-up
often,A1,1,at-the-dentist
once,A1,1,at-the-park
only,A1,1,at-the-farmers-market
pretty,A1,1,baby-care
right,A1,1,at-the-school
slowly,A1,1,at-the-restaurant
sometimes,A1,1,at-garage-gas station
soon,A1,1,at-the-train-station
then,A1,2,"at-the-airport,bathroom"
there,A1,1,kitchen
together,A1,2,"birthday-party,living-room"
very,A1,2,"bedroom,greetings"
well,A1,2,"greetings,waking-up"
when,A1,1,basic-sentences
where,A1,1,greetings
why,A1,1,grocery-shopping
best,A2,1,verb-to-be
daily,A2,1,at-the-farm
frequently,A2,1,at-garage-gas station
immediately,A2,1,at-garage-gas station
rarely,A2,1,at-garage-gas station
suddenly,A2,1,nature-walk
usually,A2,1,at-the-office
regularly,B1,1,baby-care
twice,B1,1,at-the-park
